feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_items__AND__has_properties,has_items,has_properties,601,413,0.592702,688,161,1056,624,0.651515,0.258013,2.52513,0.393502,true
has_items__AND__has_type,has_items,has_type,601,413,0.592702,688,161,1056,624,0.651515,0.258013,2.52513,0.393502,true
has_defs__AND__has_items,has_defs,has_items,539,475,0.531558,650,199,957,723,0.679206,0.275242,2.46767,0.403964,true
has_items__AND__has_ref,has_items,has_ref,539,475,0.531558,650,199,957,723,0.679206,0.275242,2.46767,0.403964,true
has_defs__AND__has_properties,has_defs,has_properties,731,283,0.720907,743,106,1266,414,0.586888,0.256039,2.29218,0.330849,true
has_defs__AND__has_ref,has_defs,has_ref,731,283,0.720907,743,106,1266,414,0.586888,0.256039,2.29218,0.330849,true
has_defs__AND__has_type,has_defs,has_type,731,283,0.720907,743,106,1266,414,0.586888,0.256039,2.29218,0.330849,true
has_properties__AND__has_ref,has_properties,has_ref,731,283,0.720907,743,106,1266,414,0.586888,0.256039,2.29218,0.330849,true
has_ref__AND__has_type,has_ref,has_type,731,283,0.720907,743,106,1266,414,0.586888,0.256039,2.29218,0.330849,true
has_additionalProperties__AND__has_items,has_additionalProperties,has_items,385,629,0.379684,511,338,673,1007,0.759287,0.33565,2.26214,0.423636,true
has_enum__AND__has_required,has_enum,has_required,246,768,0.242604,352,497,418,1262,0.842105,0.393819,2.1383,0.448286,true
has_items__AND__has_required,has_items,has_required,537,477,0.529586,621,228,942,738,0.659236,0.308943,2.13384,0.350293,true
has_additionalProperties__AND__has_defs,has_additionalProperties,has_defs,402,612,0.39645,512,337,699,981,0.732475,0.343527,2.13222,0.388948,true
has_additionalProperties__AND__has_ref,has_additionalProperties,has_ref,402,612,0.39645,512,337,699,981,0.732475,0.343527,2.13222,0.388948,true
has_defs__AND__has_enum,has_defs,has_enum,250,764,0.246548,356,493,426,1254,0.835681,0.393142,2.12565,0.442539,true
has_enum__AND__has_items,has_enum,has_items,250,764,0.246548,356,493,426,1254,0.835681,0.393142,2.12565,0.442539,true
has_enum__AND__has_properties,has_enum,has_properties,250,764,0.246548,356,493,426,1254,0.835681,0.393142,2.12565,0.442539,true
has_enum__AND__has_ref,has_enum,has_ref,250,764,0.246548,356,493,426,1254,0.835681,0.393142,2.12565,0.442539,true
has_enum__AND__has_type,has_enum,has_type,250,764,0.246548,356,493,426,1254,0.835681,0.393142,2.12565,0.442539,true
has_additionalProperties__AND__has_required,has_additionalProperties,has_required,383,631,0.377712,490,359,663,1017,0.739065,0.352999,2.09367,0.386066,true
has_additionalProperties__AND__has_enum,has_additionalProperties,has_enum,238,776,0.234714,338,511,404,1276,0.836634,0.40047,2.08913,0.436163,true
has_additionalProperties__AND__has_properties,has_additionalProperties,has_properties,408,606,0.402367,512,337,710,970,0.721127,0.347423,2.07565,0.373704,true
has_additionalProperties__AND__has_type,has_additionalProperties,has_type,408,606,0.402367,512,337,710,970,0.721127,0.347423,2.07565,0.373704,true
has_defs__AND__has_required,has_defs,has_required,636,378,0.627219,679,170,1110,570,0.611712,0.298246,2.05103,0.313466,true
has_ref__AND__has_required,has_ref,has_required,636,378,0.627219,679,170,1110,570,0.611712,0.298246,2.05103,0.313466,true
has_enum__AND__has_oneOf,has_enum,has_oneOf,69,945,0.0680473,108,741,115,1565,0.93913,0.473482,1.98345,0.465648,true
has_properties__AND__has_required,has_properties,has_required,807,207,0.795858,752,97,1367,313,0.55011,0.309904,1.7751,0.240206,true
has_required__AND__has_type,has_required,has_type,807,207,0.795858,752,97,1367,313,0.55011,0.309904,1.7751,0.240206,true
has_items__AND__has_oneOf,has_items,has_oneOf,184,830,0.18146,246,603,323,1357,0.76161,0.444363,1.71394,0.317247,true
has_oneOf__AND__has_required,has_oneOf,has_required,212,802,0.209073,263,586,362,1318,0.726519,0.444613,1.63405,0.281906,true
has_additionalProperties__AND__has_oneOf,has_additionalProperties,has_oneOf,168,846,0.16568,212,637,288,1392,0.736111,0.457615,1.60858,0.278496,true
has_defs__AND__has_oneOf,has_defs,has_oneOf,239,775,0.2357,267,582,400,1280,0.6675,0.454688,1.46804,0.212812,true
has_oneOf__AND__has_properties,has_oneOf,has_properties,239,775,0.2357,267,582,400,1280,0.6675,0.454688,1.46804,0.212812,true
has_oneOf__AND__has_ref,has_oneOf,has_ref,239,775,0.2357,267,582,400,1280,0.6675,0.454688,1.46804,0.212812,true
has_oneOf__AND__has_type,has_oneOf,has_type,239,775,0.2357,267,582,400,1280,0.6675,0.454688,1.46804,0.212812,true
has_properties__AND__has_type,has_properties,has_type,1010,4,0.996055,849,0,1676,4,0.506563,0,inf,0.506563,false
